ROUTE_STOP_SEQUENCE,OPERATOR,ADJUSTED_EARLY_COUNT,ADJUSTED_ONTIME_COUNT,ADJUSTED_LATE_COUNT,TOTAL,PCT_EARLY,PCT_ONTIME,PCT_LATE,AVG_ADHERENCE
11.0,2352,5,1,1,7,0.71,0.14,0.14,1.2071425714285715
10.0,2352,4,2,1,7,0.57,0.29,0.14,0.14285699999999998
12.0,2424,1,40,38,79,0.01,0.51,0.48,-7.345358392405063
13.0,2424,0,54,25,79,0.0,0.68,0.32,-5.310548329113924
8.0,2424,2,204,74,280,0.01,0.73,0.26,-4.582678271428572
6.0,2352,7,206,70,283,0.02,0.73,0.25,-5.119375445229682
14.0,2424,0,3,1,4,0.0,0.75,0.25,-4.7916665
9.0,2424,4,106,32,142,0.03,0.75,0.23,-4.5208917112676055
11.0,2424,4,106,31,141,0.03,0.75,0.22,-4.475058808510639
10.0,2424,1,107,33,141,0.01,0.76,0.23,-4.766784581560284
3.0,2352,77,369,33,479,0.16,0.77,0.07,-1.376235121085595
4.0,2352,57,391,34,482,0.12,0.81,0.07,-1.5923581452282156
3.0,1147,76,383,15,474,0.16,0.81,0.03,-1.0817861392405062
9.0,2352,2,53,10,65,0.03,0.82,0.15,-2.9341024153846154
14.0,1266,31,394,53,478,0.06,0.82,0.11,-2.858542290794979
7.0,2424,0,115,26,141,0.0,0.82,0.18,-2.948463085106383
7.0,2352,21,132,7,160,0.13,0.82,0.04,1.18197903125
1.0,2424,0,5,1,6,0.0,0.83,0.17,-2.8916664999999995
4.0,1147,64,398,16,478,0.13,0.83,0.03,-1.0667711924686192
8.0,2352,4,134,21,159,0.03,0.84,0.13,-2.2605867232704404
5.0,2352,32,413,39,484,0.07,0.85,0.08,-2.121831762396694
15.0,1266,10,409,60,479,0.02,0.85,0.13,-3.064265572025052
16.0,1266,11,408,58,477,0.02,0.86,0.12,-3.0599228679245285
6.0,2424,1,250,35,286,0.0,0.87,0.12,-2.931643164335664
13.0,1266,15,414,49,478,0.03,0.87,0.1,-2.9316943033472804
5.0,1147,18,468,34,520,0.03,0.9,0.07,-2.1784613096153844
15.0,1133,11,403,24,438,0.03,0.92,0.05,-1.635273789954338
16.0,1133,2,409,27,438,0.0,0.93,0.06,-1.4650303698630138
4.0,2424,17,282,5,304,0.06,0.93,0.02,-1.6434208421052632
2.0,2352,7,447,25,479,0.01,0.93,0.05,-0.7122476826722339
5.0,2424,4,290,16,310,0.01,0.94,0.05,-1.7374728806451611
3.0,2424,12,275,6,293,0.04,0.94,0.02,-1.4156425460750854
17.0,1266,4,453,24,481,0.01,0.94,0.05,-1.899791896049896
12.0,1266,4,444,24,472,0.01,0.94,0.05,-1.7392300677966102
13.0,1133,0,421,17,438,0.0,0.96,0.04,-1.8153727397260273
14.0,1133,0,419,19,438,0.0,0.96,0.04,-1.6770547100456623
2.0,1147,0,460,18,478,0.0,0.96,0.04,0.6675732217573223
12.0,1133,0,424,11,435,0.0,0.97,0.03,-0.38590032643678157
17.0,1133,0,429,9,438,0.0,0.98,0.02,-0.11997718493150687
8.0,1147,1,255,3,259,0.0,0.98,0.01,-1.8240023166023167
6.0,1147,0,258,2,260,0.0,0.99,0.01,-0.49192304615384613
2.0,2424,0,309,2,311,0.0,0.99,0.01,-0.3386923311897106
7.0,1147,0,217,0,217,0.0,1.0,0.0,0.1830260875576037
